VIN,Dealer,Make,Mileage,Model,Price,Year,modelYearId,MarketValue
5NPE24AF3JH602597,Allan Turner,Hyundai,19412.0,Sonata,17580,2018,8220,19606.666666666668
3GNCJLSB0KL385745,Allan Turner,Chevrolet,10185.0,Trax,17683,2019,9670,17854.166666666668
KM8J23A4XKU881346,Allan Turner,Hyundai,47680.0,Tucson,17720,2019,9265,21233.928571428565
2C4RDGCG3KR693328,Allan Turner,Dodge,35724.0,Grand Caravan,17779,2019,9639,18091.666666666668
KM8SN4HF3FU099355,Allan Turner,Hyundai,67755.0,Santa Fe,17835,2015,7120,15350.0
5TDYK3DC4ES471415,Allan Turner,Toyota,85061.0,Sienna,17986,2014,6824,15050.0
KNDPN3AC7H7293523,Allan Turner,Kia,29920.0,Sportage,17999,2017,7557,17645.833333333332
3GNAXJEV9JS556643,Allan Turner,Chevrolet,40750.0,Equinox,18015,2018,7991,19556.666666666668
1FATP8EMXG5290785,Allan Turner,Ford,88764.0,Mustang,18037,2016,7502,24866.66666666667
KM8J33A25GU118668,Allan Turner,Hyundai,19572.0,Tucson,18141,2016,7327,15493.75
1C4RJFBG7EC233638,Allan Turner,Jeep,101125.0,Grand Cherokee,18188,2014,6659,18486.11111111111
1G1ZB5ST0LF011872,Allan Turner,Chevrolet,8954.0,Malibu,18219,2020,0,2600.0
1GNKRFED7HJ307899,Allan Turner,Chevrolet,52373.0,Traverse,18391,2017,7732,22325.0
1HGCR2F82GA105723,Allan Turner,Honda,60460.0,Accord,18462,2016,7435,17542.5
2B3CJ5DT7AH319194,Allan Turner,Dodge,67327.0,Challenger,18891,2010,5573,14608.333333333336
1G1ZD5ST8JF108843,Allan Turner,Chevrolet,22675.0,Malibu,18900,2018,8634,17780.0
1G6AA5RA6G0167289,Allan Turner,Cadillac,33161.0,ATS,18998,2016,7265,23610.9375
KM8K33A52JU174220,Allan Turner,Hyundai,21105.0,Kona,19263,2018,8433,18590.625
1G1ZG5ST8KF179887,Allan Turner,Chevrolet,25936.0,Malibu,19275,2019,9318,19395.83333333333
3GKALWEU9JL307461,Allan Turner,Gmc,82693.0,Terrain,19310,2018,8056,20995.454545454544
JA4AZ3A36KZ045618,Allan Turner,Mitsubishi,35003.0,Outlander,19357,2019,9859,19643.18181818182
5XYZU3LB3JG541775,Allan Turner,Hyundai,31104.0,Santa Fe Sport,19509,2018,8278,21216.666666666668
1HGCR2F57HA180182,Allan Turner,Honda,44498.0,Accord,19588,2017,7573,19629.166666666668
3CZRU5H3XKM724344,Allan Turner,Honda,5566.0,HR-V,19697,2019,9623,20811.11111111111
1G1ZH5SX8HF219524,Allan Turner,Chevrolet,30264.0,Malibu,19743,2017,7802,16730.0
1J4HB5H11AL142780,Allan Turner,Jeep,115001.0,Wrangler,19779,2010,5597,15781.25
2C4RDGCG7JR157836,Allan Turner,Dodge,12869.0,Grand Caravan,19899,2018,8950,16541.666666666668
