,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
250,Pete Moore,Chevrolet,Silverado 1500,2021,0,42720,1GCPWCED0MZ432356
251,Pete Moore,Chevrolet,Silverado 1500,2018,30916,42995,3GCUKREC0JG551609
252,Pete Moore,Ram,1500,2018,58069,43995,1C6RR7YT3JS145597
253,Pete Moore,Chevrolet,Silverado 1500,2019,27755,43995,1GCPWCEDXKZ122423
254,Pete Moore,Chevrolet,Silverado 1500,2020,5148,43995,1GCRWCED7LZ354066
255,Pete Moore,Chevrolet,Silverado 1500,2019,33582,43995,1GCUYDED8KZ102044
256,Pete Moore,Chevrolet,Silverado 1500,2021,0,44185,1GCPWCED8MZ390888
257,Pete Moore,Chevrolet,Silverado 1500,2018,32476,44575,3GCUKREC4JG370612
258,Pete Moore,Chevrolet,Silverado 1500,2020,22216,44995,3GCPWCED6LG349593
259,Pete Moore,GMC,Savana Cargo Van,2014,54768,44995,1GDS8DC41E1165592
260,Pete Moore,Toyota,Highlander,2020,20638,44995,5TDDZRBH0LS051353
261,Pete Moore,Chevrolet,Silverado 3500HD,2018,72020,44995,1GC4CYCG0JF281506
262,Pete Moore,Ram,2500,2017,143418,44995,3C6UR5PJXHG764066
263,Pete Moore,Chevrolet,Camaro,2022,0,45075,1G1FF3D76N0101500
264,Pete Moore,Chevrolet,Silverado 1500,2021,0,45285,3GCPWDED1MG465694
265,Pete Moore,Chevrolet,Silverado 1500,2021,0,45285,3GCPWDED2MG461816
266,Pete Moore,Chevrolet,Silverado 1500,2018,25081,45575,3GCUKREC9JG620832
267,Pete Moore,Chevrolet,Silverado 1500,2021,0,45780,3GCPWDED5MG465570
268,Pete Moore,Chevrolet,Silverado 1500,2021,0,45975,3GCPYCEF5MG440884
269,Pete Moore,Chevrolet,Silverado 1500,2018,16425,45975,3GCUKREC6JG454852
270,Pete Moore,Audi,A5 Cabriolet,2018,29473,45995,WAU2NGF56JN002293
271,Pete Moore,Chevrolet,Silverado 1500,2021,0,46180,1GCPYCEF3MZ436140
272,Pete Moore,Chevrolet,Silverado 1500,2021,0,46180,1GCPYCEF3MZ428412
273,Pete Moore,Chevrolet,Silverado 1500,2019,20976,46575,1GCRYCEF0KZ365842
274,Pete Moore,Chevrolet,Silverado 1500,2018,20543,46575,3GCUKREC8JG626721
275,Pete Moore,Chevrolet,Silverado 3500 HD,2022,0,46675,1GC3YTE75NF140384
276,Pete Moore,Chevrolet,Colorado,2018,12407,46775,1GCGTEEN4J1231194
277,Pete Moore,Chevrolet,Silverado 1500,2017,28327,46995,3GCUKSEC1HG456607
278,Pete Moore,Toyota,4Runner,2020,28301,46995,JTEBU5JR0L5796839
279,Pete Moore,GMC,Acadia,2021,2370,46995,1GKKNMLS7MZ233507
280,Pete Moore,GMC,Sierra 1500,2018,45017,46995,3GTU2NEC8JG182877
281,Pete Moore,Toyota,Tundra 2WD,2019,26024,46995,5TFEY5F19KX251783
282,Pete Moore,Chevrolet,Silverado 1500,2020,48950,46995,3GCUYDET6LG270886
283,Pete Moore,Chevrolet,Silverado 1500,2020,13923,47575,1GCPWCED5LZ343428
284,Pete Moore,Chevrolet,Silverado 3500 HD,2022,0,47880,1GC3YTE70NF146786
285,Pete Moore,Chevrolet,Express Commercial Cutaway,2019,33165,47995,1HA3GTCG2KN011585
286,Pete Moore,Chevrolet,Silverado 1500,2021,0,48435,1GCUYDED3MZ417045
287,Pete Moore,Chevrolet,Silverado 1500,2021,0,48435,3GCUYDED0MG426365
288,Pete Moore,Chevrolet,Silverado 1500,2020,16161,48575,3GCPWCED1LG425995
289,Pete Moore,Ford,F-150,2014,88615,48995,1FTFW1R66EFA13684
290,Pete Moore,Chevrolet,Silverado 1500,2021,12395,49775,3GCPWCET5MG173922
291,Pete Moore,Chevrolet,Tahoe,2018,52350,49975,1GNSCBKC2JR223860
292,Pete Moore,Honda,Pilot,2021,4460,49995,5FNYF6H00MB086880
293,Pete Moore,GMC,Yukon,2019,64700,49995,1GKS2BKC8KR162712
294,Pete Moore,Chevrolet,Bel Air,1955,96474,49995,VC55L074342
295,Pete Moore,Chevrolet,Silverado 1500,2017,35318,49995,3GCUKTEJ7HG397485
296,Pete Moore,Chevrolet,Silverado 1500,2017,32819,49995,3GCUKTEC6HG184822
297,Pete Moore,Chevrolet,Silverado 3500 HD,2022,0,50155,1GC5YTE70NF134677
298,Pete Moore,Chevrolet,Silverado 1500,2018,24892,50775,3GCUKSEC5JG294311
299,Pete Moore,Chevrolet,Silverado 1500,2018,37661,50975,3GCUKTECXJG106467
300,Pete Moore,Ford,Super Duty F-250 SRW,2018,106738,50975,1FT7W2BT6JEB72473
301,Pete Moore,Chevrolet,Silverado 1500,2019,30892,51975,3GCUYGED6KG257449
302,Pete Moore,Chevrolet,Tahoe,2018,60669,51995,1GNSCCKC6JR354277
303,Pete Moore,Chevrolet,Silverado 1500,2019,33820,51995,1GCUYGED6KZ198001
304,Pete Moore,Dodge,Challenger,2020,10659,51995,2C3CDZFJ1LH134963
305,Pete Moore,Chevrolet,Silverado 1500,2020,11183,52775,3GCUYDED5LG286750
306,Pete Moore,Chevrolet,Silverado 2500 HD,2022,0,52940,1GC4YNE70NF132886
307,Pete Moore,Chevrolet,Silverado 1500,2020,3398,52975,3GCUYDED7LG288855
308,Pete Moore,Chevrolet,Silverado 2500 HD,2022,0,53435,1GC4YNE76NF141821
309,Pete Moore,Chevrolet,Silverado 2500 HD,2022,0,53435,1GC4YNE7XNF132880
310,Pete Moore,Chevrolet,Silverado 1500,2019,50320,53975,1GCUYHED2KZ123401
311,Pete Moore,Chevrolet,Silverado 1500,2021,4350,53995,3GCUYDET1MG256458
312,Pete Moore,Chevrolet,Silverado 1500,2020,25108,53995,1GCUYGED2LZ252279
313,Pete Moore,Chevrolet,Corvette,2016,20022,53995,1G1YB2D70G5114313
314,Pete Moore,Chevrolet,Suburban,2020,60287,54995,1GNSCJKC7LR218117
315,Pete Moore,Chevrolet,Tahoe,2017,50537,54995,1GNSCCKC8HR127814
316,Pete Moore,Chevrolet,Tahoe,2018,54897,55995,1GNSCCKC4JR153087
