,Dealer,Manufacturer,MarketValue,Mileage,Model,Price,VIN,Year,modelYearId
99,Allan Turner,Jeep,18486.11111111111,101125.0,Grand Cherokee,18091,1C4RJFBG7EC233638,2014,6659
100,Allan Turner,Hyundai,15493.75,19572.0,Tucson,18141,KM8J33A25GU118668,2016,7327
101,Allan Turner,Honda,17542.5,60460.0,Accord,18376,1HGCR2F82GA105723,2016,7435
102,Allan Turner,Chevrolet,22325.0,52373.0,Traverse,18391,1GNKRFED7HJ307899,2017,7732
103,Allan Turner,Hyundai,17362.5,76950.0,Tucson,18625,KM8J33A2XHU322609,2017,7736
104,Allan Turner,Chevrolet,17780.0,22675.0,Malibu,18900,1G1ZD5ST8JF108843,2018,8634
105,Allan Turner,Cadillac,23610.9375,33161.0,ATS,18996,1G6AA5RA6G0167289,2016,7265
106,Allan Turner,Ford,18435.714285714286,35808.0,Edge,19261,2FMPK4K91GBB21989,2016,7504
107,Allan Turner,GMC,20995.454545454544,82693.0,Terrain,19310,3GKALWEU9JL307461,2018,8056
108,Allan Turner,Honda,20811.11111111111,5566.0,HR-V,19313,3CZRU5H3XKM724344,2019,9623
109,Allan Turner,Mitsubishi,19643.18181818182,35003.0,Outlander,19357,JA4AZ3A36KZ045618,2019,9859
110,Allan Turner,Hyundai,18639.583333333332,22878.0,Tucson,19479,KM8J33A45JU800183,2018,8697
111,Allan Turner,Hyundai,21216.666666666668,31104.0,Santa Fe Sport,19509,5XYZU3LB3JG541775,2018,8278
112,Allan Turner,Honda,19629.166666666668,44498.0,Accord,19588,1HGCR2F57HA180182,2017,7573
113,Allan Turner,Hyundai,19150.0,18932.0,Santa Fe Sport,19672,5NMZUDLBXHH028738,2017,7632
114,Allan Turner,Volkswagen,16464.285714285714,12144.0,Passat,19786,1VWBT7A31HC048616,2017,7776
115,Allan Turner,Hyundai,19150.0,73406.0,Santa Fe Sport,19797,5XYZW4LA6HG456690,2017,7632
116,Allan Turner,Jeep,15781.25,115001.0,Wrangler,20043,1J4HB5H11AL142780,2010,5597
117,Allan Turner,Ford,22131.25,66685.0,Explorer,20329,1FM5K7D85GGB31494,2016,7252
118,Allan Turner,BMW,22293.75,70582.0,5 Series,20464,WBA5A5C52GG350557,2016,7436
119,Allan Turner,Hyundai,18639.583333333332,24217.0,Tucson,20494,KM8J33A49JU671123,2018,8697
120,Allan Turner,Chevrolet,19556.666666666668,15699.0,Equinox,20674,3GNAXJEV1JS636258,2018,7991
121,Allan Turner,Hyundai,26148.214285714286,31113.0,Santa Fe,20992,5NMS23AD7KH029102,2019,9193
122,Allan Turner,Hyundai,21216.666666666668,29910.0,Santa Fe Sport,21034,5XYZU3LBXJG550201,2018,8278
123,Allan Turner,Hyundai,19606.666666666668,39651.0,Sonata,21118,5NPE34AB3JH614498,2018,8220
124,Allan Turner,Hyundai,19150.0,65015.0,Santa Fe Sport,21183,5XYZW4LA1HG482453,2017,7632
125,Allan Turner,GMC,18433.333333333332,38920.0,Terrain,21275,2GKFLPE35H6150545,2017,7830
126,Allan Turner,Honda,18696.153846153848,47485.0,Civic,21299,2HGFC1E52HH707475,2017,7662
127,Allan Turner,Toyota,23007.5,34888.0,Camry,21439,4T1B11HK5JU137345,2018,8073
128,Allan Turner,Dodge,31353.125,55467.0,Charger,21461,2C3CDXHGXHH643480,2017,7715
129,Allan Turner,Hyundai,21233.928571428572,7445.0,Tucson,21470,KM8J33A45KU041651,2019,9265
130,Allan Turner,Chevrolet,,63707.0,Camaro,21479,1G1FB1RS7H0124205,2017,7637
131,Allan Turner,Lexus,22033.333333333332,53610.0,RX,21499,2T2BK1BA3FC335486,2015,7014
132,Allan Turner,Hyundai,2600.0,61463.0,Sonata Hybrid,21644,KMHE34L1XHA044601,2017,0
133,Allan Turner,Nissan,20437.5,42601.0,Rogue,21700,5N1AT2MT3KC739629,2019,9761
134,Allan Turner,GMC,18433.333333333332,31399.0,Terrain,21776,2GKALPEK7H6200198,2017,7830
135,Allan Turner,GMC,18433.333333333332,39948.0,Terrain,21889,2GKFLPE34H6216910,2017,7830
136,Allan Turner,Jeep,20128.571428571428,34942.0,Compass,22707,3C4NJDDB1KT695357,2019,9681
137,Allan Turner,Chevrolet,21620.0,23656.0,Equinox,22795,2GNAXUEV0K6230098,2019,9616
138,Allan Turner,Chevrolet,22983.333333333332,69946.0,Corvette,22991,1G1YY25W985122996,2008,5015
139,Allan Turner,Hyundai,20750.0,34943.0,Genesis,23213,KMHGN4JE8GU107829,2016,7531
140,Allan Turner,Hyundai,2600.0,5458.0,Tucson,23789,KM8J33AL1LU144171,2020,0
141,Allan Turner,GMC,29215.0,33200.0,Canyon,23987,1GTH5BEA1J1259402,2018,8877
142,Allan Turner,Ford,33497.22222222222,22918.0,Mustang,24077,1FA6P8TH8K5166154,2019,9185
143,Allan Turner,GMC,2600.0,44991.0,Terrain,24147,3GKALVEV3LL127818,2020,0
144,Allan Turner,Hyundai,20750.0,51385.0,Genesis,24184,KMHGN4JE7GU115047,2016,7531
145,Allan Turner,Chrysler,23135.0,40922.0,Pacifica,24369,2C4RC1BGXJR143155,2018,8975
146,Allan Turner,Hyundai,2600.0,8837.0,Santa Fe,24385,5NMS23AD3LH151277,2020,0
147,Allan Turner,BMW,22275.0,44313.0,X1,24408,WBXHU7C37H5H35911,2017,7696
148,Allan Turner,Hyundai,18175.0,34390.0,Genesis,24551,KMHGN4JF9FU020965,2015,6964
149,Allan Turner,Kia,2600.0,8620.0,Optima,24594,5XXGU4L13LG413547,2020,0
