,Dealer,Manufacturer,Model,Year,Mileage,Price,VIN
149,Sandy Sansing,Nissan,Altima,2017,58978,16955,1N4AL3AP3HC271076
150,Sandy Sansing,Kia,Optima,2017,19298,16971,5XXGT4L31HG146288
151,Sandy Sansing,Nissan,Sentra,2019,26924,16990,3N1AB7AP5KY359276
152,Sandy Sansing,Nissan,Sentra,2019,40418,16990,3N1AB7AP0KL624411
153,Sandy Sansing,Nissan,Sentra,2017,22638,16990,3N1AB7AP0HY250314
154,Sandy Sansing,Jeep,Renegade,2016,51737,16991,ZACCJBDT7GPC61835
155,Sandy Sansing,Kia,Forte,2019,13568,16991,3KPF24AD3KE014739
156,Sandy Sansing,BMW,3 Series,2015,46487,16991,WBA3B1G54FNT63781
157,Sandy Sansing,Nissan,Rogue Sport,2017,29773,16991,JN1BJ1CP7HW018222
158,Sandy Sansing,Nissan,JUKE,2016,53706,16995,JN8AF5MV1GT658199
159,Sandy Sansing,INFINITI,M37,2012,64136,16995,JN1BY1AP5CM333880
160,Sandy Sansing,Hyundai,Elantra,2019,22397,16995,5NPD84LF8KH453807
161,Sandy Sansing,Kia,Soul,2018,34537,16995,KNDJP3A53J7611726
162,Sandy Sansing,Chevrolet,Trax,2019,8365,16995,3GNCJLSBXKL376390
163,Sandy Sansing,Kia,Optima,2017,26493,16995,KNAGT4L3XH5174575
164,Sandy Sansing,Nissan,Altima,2017,38513,17000,1N4AL3AP8HC274409
165,Sandy Sansing,Kia,Sorento,2016,62991,17000,5XYPG4A39GG053990
166,Sandy Sansing,Ford,Fusion,2017,33782,17000,3FA6P0H77HR351612
167,Sandy Sansing,Kia,Forte,2019,19158,17000,3KPF24AD5KE044809
168,Sandy Sansing,Mazda,CX-5,2015,48003,17000,JM3KE2CY6F0532134
169,Sandy Sansing,Ford,Edge,2015,89398,17000,2FMTK3J89FBB05362
170,Sandy Sansing,Jeep,Renegade,2018,56254,17000,ZACCJABB4JPJ29964
171,Sandy Sansing,Ford,Explorer,2013,116128,17000,1FM5K8F85DGA41342
172,Sandy Sansing,MINI,Cooper Countryman,2014,42176,17000,WMWZC5C5XEWM17890
173,Sandy Sansing,Subaru,Legacy,2017,66120,17000,4S3BNAC64H3052743
174,Sandy Sansing,Ford,Explorer,2015,122775,17000,1FM5K7F8XFGB82534
175,Sandy Sansing,Buick,Regal,2016,33778,17204,2G4GS5GX1G9166130
176,Sandy Sansing,Nissan,Rogue,2019,41951,17207,KNMAT2MT5KP522841
177,Sandy Sansing,Hyundai,Sonata,2019,37099,17271,5NPE24AF3KH737385
178,Sandy Sansing,Hyundai,Tucson,2019,47630,17289,KM8J23A42KU923248
179,Sandy Sansing,Toyota,Corolla,2019,16639,17300,5YFBURHEXKP946455
180,Sandy Sansing,Dodge,Grand Caravan,2019,20652,17323,2C4RDGCG6KR699396
181,Sandy Sansing,Chevrolet,Malibu,2017,32304,17425,1G1ZE5ST5HF104773
182,Sandy Sansing,Ford,Fusion,2017,20175,17491,3FA6P0H79HR326520
183,Sandy Sansing,Chevrolet,Cruze,2019,30734,17498,1G1BE5SM8K7129808
184,Sandy Sansing,Toyota,Corolla,2018,25882,17500,5YFBURHEXJP777603
185,Sandy Sansing,Toyota,Corolla,2019,13905,17500,5YFBURHEXKP908742
186,Sandy Sansing,Chevrolet,Malibu,2017,20853,17500,1G1ZE5ST8HF163705
187,Sandy Sansing,Ford,Edge,2015,80465,17500,2FMTK4J94FBC18618
188,Sandy Sansing,Mitsubishi,Outlander Sport,2019,36883,17554,JA4AP4AU0KU006475
189,Sandy Sansing,Kia,Sportage,2017,86185,17592,KNDPN3AC3H7073702
190,Sandy Sansing,Kia,Sportage,2019,38573,17608,KNDPM3AC7K7583108
191,Sandy Sansing,Chevrolet,Equinox,2017,84250,17620,2GNALCEK3H6269160
192,Sandy Sansing,Chevrolet,Malibu,2019,22859,17625,1G1ZB5ST4KF130376
193,Sandy Sansing,Nissan,Rogue,2018,69748,17690,KNMAT2MT6JP570332
194,Sandy Sansing,Nissan,Sentra,2019,36488,17761,3N1AB7AP8KY300917
195,Sandy Sansing,Nissan,Altima,2017,18204,17888,1N4AL3AP1HC246242
196,Sandy Sansing,Nissan,Altima,2017,17981,17895,1N4AL3AP2HN310289
197,Sandy Sansing,Hyundai,Santa Fe,2017,82918,17907,KM8SM4HF1HU165312
198,Sandy Sansing,Hyundai,Sonata,2019,36967,17907,5NPE24AF5KH737999
199,Sandy Sansing,Dodge,Grand Caravan,2017,57033,17925,2C4RDGCG4HR799702
200,Sandy Sansing,MINI,Cooper Countryman,2016,42368,17988,WMWZB3C59GWR48704
201,Sandy Sansing,Toyota,Corolla,2020,28063,17990,JTDEPRAE5LJ017732
202,Sandy Sansing,Toyota,Corolla,2020,30596,17990,5YFEPRAE9LP030009
203,Sandy Sansing,Nissan,Altima,2017,34595,17990,1N4AL3AP1HC223978
204,Sandy Sansing,INFINITI,QX56,2012,88597,17991,JN8AZ2NE1C9020370
205,Sandy Sansing,Jeep,Cherokee,2018,52364,17991,1C4PJLCBXJD587389
206,Sandy Sansing,Hyundai,Elantra,2019,20976,17991,5NPD84LF1KH467788
207,Sandy Sansing,Chevrolet,Volt,2017,24651,17997,1G1RB6S57HU204398
